Valores  no ajustados;Valores inv Fijos;Valores inv Restringuidos
668.4183544;773.4916434;728.8190601
1032.43407;1230.304899;1185.754287
581.882655;667.4722108;622.282952
1121.178296;1400.54137;1404.914464
1129.282675;1401.014511;1396.872543
886.6486692;1094.742782;1087.208941
1206.220691;1505.313443;1510.815249
1169.81515;1461.377366;1467.856909
1186.224803;1487.982159;1498.83932
651.9887901;816.4831043;821.8703409
1108.608267;1389.385717;1396.717714
903.0072234;1144.045984;1156.040502
899.1065099;1118.252359;1111.475858
1080.991974;1360.185017;1365.100208
1082.193144;1356.954813;1360.540892
1019.377769;1294.283192;1307.628338
1012.900747;1283.869914;1293.313387
872.2713252;1101.47421;1111.175034
802.3736347;1009.027631;1017.553215
1119.952565;1374.287296;1357.607522
1084.398657;1358.007542;1360.914346
958.9507615;1206.872273;1214.869589
1067.639788;1348.518801;1360.791291
997.997141;1282.94947;1280.532656
1014.93786;1318.707627;1359.944284
682.3800123;843.3091588;835.2151928
576.4848268;748.1448626;771.2552428
1237.655984;1565.527539;1582.04884
1319.927977;1667.874481;1684.181545
1223.740083;1588.926301;1637.598461
1112.842259;1382.22885;1374.454496
1118.098938;1424.325659;1442.541463
316.8826604;361.078133;331.3021307
369.0897765;462.010187;461.636518
971.6211605;1226.516213;1243.334336
1077.806292;1367.561136;1380.411088
268.3437863;432.9976434;426.6483427
674.7014868;843.4052079;839.1572611
962.1594201;1194.264114;1187.33965
1080.248044;1366.857345;1377.037644
1177.97156;1470.098888;1463.317415
918.3067341;1176.93273;1193.907303
284.3504629;418.6319606;470.1710936
904.9070332;1216.855697;1250.302034
1014.616243;1289.967634;1307.183841
953.0286879;1240.782083;1276.759157
1138.378476;1474.409233;1503.837765
1088.667135;1337.530567;1307.800251
719.0118854;850.9300923;805.7816531
1072.699151;1314.420509;1283.556992
754.4825614;937.4448639;926.1164052
1092.297431;1380.294663;1383.293733
995.9587158;1273.026973;1286.602789
799.3655783;1011.089677;1019.483512
690.408546;874.309949;886.2150431
1102.535058;1416.65513;1425.70242
1085.061569;1399.393177;1426.618612
1032.299251;1323.788689;1350.166887
985.0684258;1257.158123;1278.291513
1078.264506;1414.60663;1461.534529
1063.155714;1433.582285;1525.387029
819.8651124;1099.332993;1082.305021
1050.32387;1278.954969;1246.404707
693.5359266;925.9110432;971.4839327
1086.59791;1399.846818;1432.299018
1088.295174;1338.603527;1311.955533
945.6095237;1246.002535;1292.561717
417.8613455;599.8360144;599.0534975
575.8896385;732.9830961;742.9882998
1001.772844;1303.985964;1308.16583
518.1118654;630.1553045;607.8954211
733.2379611;941.436405;956.0472027
1202.675219;1585.151182;1623.95351
1113.395259;1490.187884;1522.614941
1241.265742;1689.237021;1790.086777
1287.960274;1661.967012;1694.359919
1123.29553;1448.23233;1468.993431
654.2868169;860.1668322;886.4158843
675.8331176;882.8377123;897.905972
1012.69402;1325.240008;1358.378011
896.4230385;1137.868108;1138.115387
965.241626;1240.757704;1246.25146
885.2939085;1162.828331;1163.314409
889.5907918;1150.791338;1168.416706
850.7012712;1101.748346;1114.640105
892.9527693;1165.061091;1189.344917
822.9743762;1066.51029;1084.381513
935.0305191;1170.054832;1158.802147
962.6530919;1207.894575;1200.333596
993.8013108;1286.166079;1306.395943
799.69231;1025.806984;1034.394002
493.9460818;626.1154127;619.3198484
956.7199227;1275.469336;1279.485976
